challenge_no,topic,part
1.0,The print() Function,1.0
2.0,The print() Function,1.0
3.0,The print() Function,1.0
4.0,The print() Function,1.0
5.0,The print() Function,1.0
6.0,The print() Function,1.0
7.0,The print() Function,1.0
8.0,The print() Function,1.0
9.0,The print() Function,1.0
10.0,The print() Function,1.0
11.0,The print() Function,1.0
12.0,The print() Function,1.0
13.0,The print() Function,1.0
14.0,The print() Function,1.0
15.0,The print() Function,1.0
16.0,The print() Function,1.0
17.0,The print() Function,1.0
18.0,The print() Function,1.0
19.0,Lists and Indexes,1.0
20.0,Lists and Indexes,1.0
21.0,Lists and Indexes,1.0
22.0,Lists and Indexes,1.0
23.0,Lists and Indexes,1.0
24.0,Lists and Indexes,1.0
25.0,Lists and Indexes,1.0
26.0,For Loops,1.0
27.0,For Loops,1.0
28.0,For Loops,1.0
29.0,For Loops,1.0
30.0,For Loops,1.0
31.0,Range,1.0
32.0,Range,1.0
33.0,Range,1.0
34.0,Range,1.0
35.0,Range,1.0
36.0,Range,1.0
37.0,Range,1.0
38.0,Range,1.0
39.0,Range,1.0
40.0,Range,1.0
41.0,Variables,1.0
42.0,Variables,1.0
43.0,Variables,1.0
44.0,Variables,1.0
45.0,Variables,1.0
46.0,Variables,1.0
47.0,Variables,1.0
48.0,Conditional Statements (if-else),1.0
49.0,Conditional Statements (if-else),1.0
50.0,Conditional Statements (if-else),1.0
51.0,Conditional Statements (if-else),1.0
52.0,Conditional Statements (if-else),1.0
53.0,Conditional Statements (if-else),1.0
54.0,Conditional Statements (if-else),1.0
55.0,Conditional Statements (if-else),1.0
56.0,Conditional Statements (if-else),1.0
57.0,Conditional Statements (if-else),1.0
58.0,Conditional Statements (if-else),1.0
59.0,Conditional Statements (if-else),1.0
60.0,Conditional Loops (while),1.0
61.0,Conditional Loops (while),1.0
62.0,Conditional Loops (while),1.0
63.0,Conditional Loops (while),1.0
64.0,Conditional Loops (while),1.0
65.0,Conditional Loops (while),1.0
66.0,Conditional Loops (while),1.0
67.0,"Boolean Operators (and, or, not)",1.0
68.0,"Boolean Operators (and, or, not)",1.0
69.0,"Boolean Operators (and, or, not)",1.0
70.0,"Boolean Operators (and, or, not)",1.0
71.0,"Boolean Operators (and, or, not)",1.0
72.0,"Boolean Operators (and, or, not)",1.0
73.0,"Boolean Operators (and, or, not)",1.0
74.0,"Boolean Operators (and, or, not)",1.0
75.0,"Boolean Operators (and, or, not)",1.0
76.0,"Boolean Operators (and, or, not)",1.0
77.0,"Boolean Operators (and, or, not)",1.0
78.0,"Boolean Operators (and, or, not)",1.0
79.0,Functions,1.0
80.0,Functions,1.0
81.0,Functions,1.0
82.0,Functions,1.0
83.0,Functions,1.0
84.0,Functions,1.0
85.0,Functions,1.0
86.0,Functions,1.0
87.0,Functions,1.0
88.0,Classes,2.0
89.0,Classes,2.0
90.0,Classes,2.0
91.0,Classes,2.0
92.0,Classes,2.0
93.0,Classes,2.0
94.0,Input,2.0
95.0,Input,2.0
96.0,Input,2.0
97.0,Input,2.0
98.0,"Simple Data Types (integers, strings)",2.0
99.0,"Simple Data Types (integers, strings)",2.0
100.0,"Simple Data Types (integers, strings)",2.0
101.0,"Simple Data Types (integers, strings)",2.0
102.0,"Simple Data Types (integers, strings)",2.0
103.0,"Simple Data Types (integers, strings)",2.0
104.0,"Simple Data Types (integers, strings)",2.0
105.0,"Simple Data Types (integers, strings)",2.0
106.0,"Simple Data Types (integers, strings)",2.0
107.0,"Simple Data Types (integers, strings)",2.0
108.0,"Simple Data Types (integers, strings)",2.0
109.0,"Simple Data Types (integers, strings)",2.0
110.0,"Simple Data Types (integers, strings)",2.0
111.0,"Advanced Data Types (dictionary, set, tuple)",2.0
112.0,"Advanced Data Types (dictionary, set, tuple)",2.0
113.0,"Advanced Data Types (dictionary, set, tuple)",2.0
114.0,"Advanced Data Types (dictionary, set, tuple)",2.0
115.0,"Advanced Data Types (dictionary, set, tuple)",2.0
116.0,"Advanced Data Types (dictionary, set, tuple)",2.0
117.0,"Advanced Data Types (dictionary, set, tuple)",2.0
118.0,"Advanced Data Types (dictionary, set, tuple)",2.0
119.0,"Advanced Data Types (dictionary, set, tuple)",2.0
120.0,"Advanced Data Types (dictionary, set, tuple)",2.0
121.0,"Advanced Data Types (dictionary, set, tuple)",2.0
122.0,"Advanced Data Types (dictionary, set, tuple)",2.0
123.0,"Advanced Data Types (dictionary, set, tuple)",2.0
124.0,"Advanced Data Types (dictionary, set, tuple)",2.0
125.0,"Advanced Data Types (dictionary, set, tuple)",2.0
126.0,"Advanced Data Types (dictionary, set, tuple)",2.0
127.0,"Advanced Data Types (dictionary, set, tuple)",2.0
128.0,"Advanced Data Types (dictionary, set, tuple)",2.0
129.0,2D Lists,2.0
130.0,2D Lists,2.0
131.0,2D Lists,2.0
132.0,2D Lists,2.0
133.0,2D Lists,2.0
134.0,2D Lists,2.0
135.0,2D Lists,2.0
136.0,2D Lists,2.0
137.0,2D Lists,2.0
138.0,2D Lists,2.0
139.0,2D Lists,2.0
140.0,2D Lists,2.0
141.0,2D Lists,2.0
142.0,Bubble Sort,2.0
143.0,Bubble Sort,2.0
144.0,Bubble Sort,2.0
145.0,Bubble Sort,2.0
146.0,Bubble Sort,2.0
147.0,Bubble Sort,2.0
148.0,Bubble Sort,2.0
149.0,Bubble Sort,2.0
150.0,Bubble Sort,2.0
