item_id,programme_id,level,item_name,part
CM-P1-L1-P1,CM-P1,1,The print() Function,1
CM-P1-L2-P1,CM-P1,2,The print() Function,1
CM-P1-L3-P1,CM-P1,3,The print() Function,1
CM-P1-L4-P1,CM-P1,4,The print() Function,1
CM-P1-L5-P1,CM-P1,5,The print() Function,1
CM-P1-L6-P1,CM-P1,6,The print() Function,1
CM-P1-L7-P1,CM-P1,7,The print() Function,1
CM-P1-L8-P1,CM-P1,8,The print() Function,1
CM-P1-L9-P1,CM-P1,9,The print() Function,1
CM-P1-L10-P1,CM-P1,10,The print() Function,1
CM-P1-L11-P1,CM-P1,11,The print() Function,1
CM-P1-L12-P1,CM-P1,12,The print() Function,1
CM-P1-L13-P1,CM-P1,13,The print() Function,1
CM-P1-L14-P1,CM-P1,14,The print() Function,1
CM-P1-L15-P1,CM-P1,15,The print() Function,1
CM-P1-L16-P1,CM-P1,16,The print() Function,1
CM-P1-L17-P1,CM-P1,17,The print() Function,1
CM-P1-L18-P1,CM-P1,18,The print() Function,1
CM-P1-L19-P1,CM-P1,19,Lists and Indexes,1
CM-P1-L20-P1,CM-P1,20,Lists and Indexes,1
CM-P1-L21-P1,CM-P1,21,Lists and Indexes,1
CM-P1-L22-P1,CM-P1,22,Lists and Indexes,1
CM-P1-L23-P1,CM-P1,23,Lists and Indexes,1
CM-P1-L24-P1,CM-P1,24,Lists and Indexes,1
CM-P1-L25-P1,CM-P1,25,Lists and Indexes,1
CM-P1-L26-P1,CM-P1,26,For Loops,1
CM-P1-L27-P1,CM-P1,27,For Loops,1
CM-P1-L28-P1,CM-P1,28,For Loops,1
CM-P1-L29-P1,CM-P1,29,For Loops,1
CM-P1-L30-P1,CM-P1,30,For Loops,1
CM-P1-L31-P1,CM-P1,31,Range,1
CM-P1-L32-P1,CM-P1,32,Range,1
CM-P1-L33-P1,CM-P1,33,Range,1
CM-P1-L34-P1,CM-P1,34,Range,1
CM-P1-L35-P1,CM-P1,35,Range,1
CM-P1-L36-P1,CM-P1,36,Range,1
CM-P1-L37-P1,CM-P1,37,Range,1
CM-P1-L38-P1,CM-P1,38,Range,1
CM-P1-L39-P1,CM-P1,39,Range,1
CM-P1-L40-P1,CM-P1,40,Range,1
CM-P1-L41-P1,CM-P1,41,Variables,1
CM-P1-L42-P1,CM-P1,42,Variables,1
CM-P1-L43-P1,CM-P1,43,Variables,1
CM-P1-L44-P1,CM-P1,44,Variables,1
CM-P1-L45-P1,CM-P1,45,Variables,1
CM-P1-L46-P1,CM-P1,46,Variables,1
CM-P1-L47-P1,CM-P1,47,Variables,1
CM-P1-L48-P1,CM-P1,48,Conditional Statements (if-else),1
CM-P1-L49-P1,CM-P1,49,Conditional Statements (if-else),1
CM-P1-L50-P1,CM-P1,50,Conditional Statements (if-else),1
CM-P1-L51-P1,CM-P1,51,Conditional Statements (if-else),1
CM-P1-L52-P1,CM-P1,52,Conditional Statements (if-else),1
CM-P1-L53-P1,CM-P1,53,Conditional Statements (if-else),1
CM-P1-L54-P1,CM-P1,54,Conditional Statements (if-else),1
CM-P1-L55-P1,CM-P1,55,Conditional Statements (if-else),1
CM-P1-L56-P1,CM-P1,56,Conditional Statements (if-else),1
CM-P1-L57-P1,CM-P1,57,Conditional Statements (if-else),1
CM-P1-L58-P1,CM-P1,58,Conditional Statements (if-else),1
CM-P1-L59-P1,CM-P1,59,Conditional Statements (if-else),1
CM-P1-L60-P1,CM-P1,60,Conditional Loops (while),1
CM-P1-L61-P1,CM-P1,61,Conditional Loops (while),1
CM-P1-L62-P1,CM-P1,62,Conditional Loops (while),1
CM-P1-L63-P1,CM-P1,63,Conditional Loops (while),1
CM-P1-L64-P1,CM-P1,64,Conditional Loops (while),1
CM-P1-L65-P1,CM-P1,65,Conditional Loops (while),1
CM-P1-L66-P1,CM-P1,66,Conditional Loops (while),1
CM-P1-L67-P1,CM-P1,67,"Boolean Operators (and, or, not)",1
CM-P1-L68-P1,CM-P1,68,"Boolean Operators (and, or, not)",1
CM-P1-L69-P1,CM-P1,69,"Boolean Operators (and, or, not)",1
CM-P1-L70-P1,CM-P1,70,"Boolean Operators (and, or, not)",1
CM-P1-L71-P1,CM-P1,71,"Boolean Operators (and, or, not)",1
CM-P1-L72-P1,CM-P1,72,"Boolean Operators (and, or, not)",1
CM-P1-L73-P1,CM-P1,73,"Boolean Operators (and, or, not)",1
CM-P1-L74-P1,CM-P1,74,"Boolean Operators (and, or, not)",1
CM-P1-L75-P1,CM-P1,75,"Boolean Operators (and, or, not)",1
CM-P1-L76-P1,CM-P1,76,"Boolean Operators (and, or, not)",1
CM-P1-L77-P1,CM-P1,77,"Boolean Operators (and, or, not)",1
CM-P1-L78-P1,CM-P1,78,"Boolean Operators (and, or, not)",1
CM-P1-L79-P1,CM-P1,79,Functions,1
CM-P1-L80-P1,CM-P1,80,Functions,1
CM-P1-L81-P1,CM-P1,81,Functions,1
CM-P1-L82-P1,CM-P1,82,Functions,1
CM-P1-L83-P1,CM-P1,83,Functions,1
CM-P1-L84-P1,CM-P1,84,Functions,1
CM-P1-L85-P1,CM-P1,85,Functions,1
