robot_name,kit,level,sequence
EasyBot,ROBOKIT,Level 1,2.0
HouseBot,ROBOKIT,Level 1,3.0
HelicopterBot,ROBOKIT,Level 1,4.0
RaceBot,ROBOKIT,Level 1,5.0
RabbitBot,ROBOKIT,Level 1,6.0
DeliveryBot,ROBOKIT,Level 1,7.0
PetBot,ROBOKIT,Level 1,8.0
SensingBot,ROBOKIT,Level 1,9.0
ControlBot,ROBOKIT,Level 1,10.0
SnailBot,ROBOKIT,Level 1,11.0
BattleBot,ROBOKIT,Level 1,12.0
KartBot,ROBOKIT,Level 2,1.0
TurtleBot,ROBOKIT,Level 2,2.0
ServoBot,ROBOKIT,Level 2,3.0
AttackBot,ROBOKIT,Level 2,4.0
AvoidBot,ROBOKIT,Level 2,5.0
CanBot,ROBOKIT,Level 2,6.0
FortressBot,ROBOKIT,Level 2,7.0
TractorBot,ROBOKIT,Level 2,8.0
AxeBot,ROBOKIT,Level 2,9.0
LoaderBot,ROBOKIT,Level 2,10.0
GrabBot,ROBOKIT,Level 2,11.0
FutureBot,ROBOKIT,Level 2,12.0
InvertBot,ROBOKIT,Level 3,1.0
CombatBot,ROBOKIT,Level 3,2.0
FrogBot,ROBOKIT,Level 3,3.0
LancerBot,ROBOKIT,Level 3,4.0
JeepBot,ROBOKIT,Level 3,5.0
CannoBot,ROBOKIT,Level 3,6.0
DinoBot,ROBOKIT,Level 3,7.0
TornadoBot,ROBOKIT,Level 3,8.0
SuperbikeBot,ROBOKIT,Level 3,9.0
ClimbBot,ROBOKIT,Level 3,10.0
LarvaBot,ROBOKIT,Level 3,11.0
FutureBot,ROBOKIT,Level 3,12.0
SoccerBot,ROBOKIT,Level 4,1.0
DiceBot,ROBOKIT,Level 4,2.0
SpikeBot,ROBOKIT,Level 4,3.0
BugBot,ROBOKIT,Level 4,4.0
FormulaBot,ROBOKIT,Level 4,5.0
TopBot,ROBOKIT,Level 4,6.0
BoxingBot,ROBOKIT,Level 4,7.0
SpaceBot,ROBOKIT,Level 4,8.0
DragonBot,ROBOKIT,Level 4,9.0
RifleBot,ROBOKIT,Level 5,1.0
SupergrabBot,ROBOKIT,Level 5,2.0
SupertankBot,ROBOKIT,Level 5,3.0
VikingBot,ROBOKIT,Level 5,4.0
DancingBot,ROBOKIT,Level 5,5.0
DriftBot,ROBOKIT,Level 5,6.0
BowlingBot,ROBOKIT,Level 5,7.0
PelicanBot,ROBOKIT,Level 5,8.0
SpinBot,ROBOKIT,Level 6,1.0
LizardBot,ROBOKIT,Level 6,2.0
GolfBot,ROBOKIT,Level 6,3.0
CrazyBot,ROBOKIT,Level 6,4.0
ShootingBot,ROBOKIT,Level 6,5.0
WindbikeBot,ROBOKIT,Level 6,6.0
NeroBot,ROBOKIT,Level 6,7.0
ScorpionBot,ROBOKIT,Level 6,8.0
FutureBot,ROBOKIT,Level 6,9.0
GiantCarBot,ROBOKIT,Level 6,10.0
GumdoBot,ROBOKIT,Level 7,1.0
AutomationBot,ROBOKIT,Level 7,2.0
PowerBattleBot,ROBOKIT,Level 7,3.0
FutureBot,ROBOKIT,Level 7,4.0
VendingMachineBot,ROBOKIT,Level 7,5.0
BowBot,ROBOKIT,Level 8,1.0
BuldozerBot,ROBOKIT,Level 8,2.0
OffroadBot,ROBOKIT,Level 8,3.0
RubbergunBot,ROBOKIT,Level 8,4.0
LoaderBot,ROBOKIT,Level 8,5.0
PenguinBot,ROBOKIT,Level 8,6.0
ErrandBot,ROBOKIT,Level 8,7.0
TractorBot,ROBOKIT,Level 8,8.0
CraneBot,ROBOKIT,Level 8,9.0
