item_id,programme_id,programme_name,kit,level,sequence,item_name
AIK-Lv1_original-1.0,AIK-Lv1_original,AIKIRO Lv1_original,AIKIRO,Lv1_original,1.0,Elephant
AIK-Lv1_original-2.0,AIK-Lv1_original,AIKIRO Lv1_original,AIKIRO,Lv1_original,2.0,Shooter
AIK-Lv1_original-3.0,AIK-Lv1_original,AIKIRO Lv1_original,AIKIRO,Lv1_original,3.0,Kiki
AIK-Lv1_original-4.0,AIK-Lv1_original,AIKIRO Lv1_original,AIKIRO,Lv1_original,4.0,Scooter
AIK-Lv1_original-5.0,AIK-Lv1_original,AIKIRO Lv1_original,AIKIRO,Lv1_original,5.0,Airplane
AIK-Lv1_original-6.0,AIK-Lv1_original,AIKIRO Lv1_original,AIKIRO,Lv1_original,6.0,Caterpillar
AIK-Lv1_original-7.0,AIK-Lv1_original,AIKIRO Lv1_original,AIKIRO,Lv1_original,7.0,WingMill
AIK-Lv1_original-8.0,AIK-Lv1_original,AIKIRO Lv1_original,AIKIRO,Lv1_original,8.0,Hippo
AIK-Lv1_original-9.0,AIK-Lv1_original,AIKIRO Lv1_original,AIKIRO,Lv1_original,9.0,Music Box
AIK-Lv1_original-10.0,AIK-Lv1_original,AIKIRO Lv1_original,AIKIRO,Lv1_original,10.0,Car
AIK-Lv1_original-11.0,AIK-Lv1_original,AIKIRO Lv1_original,AIKIRO,Lv1_original,11.0,Robot Fighter
AIK-Lv1_original-12.0,AIK-Lv1_original,AIKIRO Lv1_original,AIKIRO,Lv1_original,12.0,Curler Bot
AIK-Lv1_additional-1.0,AIK-Lv1_additional,AIKIRO Lv1_additional,AIKIRO,Lv1_additional,1.0,Robot Fish
AIK-Lv1_additional-2.0,AIK-Lv1_additional,AIKIRO Lv1_additional,AIKIRO,Lv1_additional,2.0,Robot Dog
AIK-Lv1_additional-3.0,AIK-Lv1_additional,AIKIRO Lv1_additional,AIKIRO,Lv1_additional,3.0,Robot Fighter
AIK-Lv1_additional-4.0,AIK-Lv1_additional,AIKIRO Lv1_additional,AIKIRO,Lv1_additional,4.0,Robot dancer
AIK-Lv1_additional-5.0,AIK-Lv1_additional,AIKIRO Lv1_additional,AIKIRO,Lv1_additional,5.0,Gear Bot
AIK-Lv1_additional-6.0,AIK-Lv1_additional,AIKIRO Lv1_additional,AIKIRO,Lv1_additional,6.0,Frog Bot
AIK-Lv1_additional-7.0,AIK-Lv1_additional,AIKIRO Lv1_additional,AIKIRO,Lv1_additional,7.0,Bumper Bot
AIK-Lv1_additional-8.0,AIK-Lv1_additional,AIKIRO Lv1_additional,AIKIRO,Lv1_additional,8.0,FrogBot
AIK-Lv2_original-1.0,AIK-Lv2_original,AIKIRO Lv2_original,AIKIRO,Lv2_original,1.0,Deliveryy Robot
AIK-Lv2_original-2.0,AIK-Lv2_original,AIKIRO Lv2_original,AIKIRO,Lv2_original,2.0,Grand Stage
AIK-Lv2_original-3.0,AIK-Lv2_original,AIKIRO Lv2_original,AIKIRO,Lv2_original,3.0,Line Tracer
