level,sequence,robot_name
Lv1,1.0,Robot Friend
Lv1,2.0,Swing
Lv1,3.0,Desk & Chair
Lv1,4.0,School Bus
Lv1,5.0,Picture Frame
Lv1,6.0,Puppy
Lv1,7.0,Frog
Lv1,8.0,Butterfly
Lv1,9.0,Fire Truck
Lv1,10.0,Giraffe
Lv1,11.0,Ambulance
Lv1,12.0,Crane
Lv2,1.0,Pterosaur
Lv2,2.0,Bird
Lv2,3.0,Snail
Lv2,4.0,Scorpion
Lv2,5.0,Fan
Lv2,6.0,Germ
Lv2,7.0,Crab
Lv2,8.0,Beetle
Lv2,9.0,Goblin
Lv2,10.0,Drummer
Lv2,11.0,Hibiscus
Lv2,12.0,Catapult
Lv3,1.0,Wrestling Bot
Lv3,2.0,Board Game Bot
Lv3,3.0,Soccer Bot
Lv3,4.0,Bull
Lv3,5.0,Dragonfly
Lv3,6.0,Scarecrow
Lv3,7.0,Tractor
Lv3,8.0,Helper Bot
Lv3,9.0,Yacht
Lv3,10.0,Bicycle
Lv3,11.0,Helicopter
Lv3,12.0,Train
Lv4,1.0,Ski Bot
Lv4,2.0,Hockey Bot
Lv4,3.0,Rudolph
Lv4,4.0,Snowplow
Lv4,5.0,Firefly
Lv4,6.0,Dinosaur
Lv4,7.0,Rhino
Lv4,8.0,Melody Doll
Lv4,9.0,Cleaning Bot
Lv4,10.0,Exploring Bot
Lv4,11.0,Military Bot
Lv4,12.0,Humanoid
