Robot Name,Kit,Level,Sequence
EasyBot,ROBOKIT,Level 1,2
HouseBot,ROBOKIT,Level 1,3
HelicopterBot,ROBOKIT,Level 1,4
RaceBot,ROBOKIT,Level 1,5
RabbitBot,ROBOKIT,Level 1,6
DeliveryBot,ROBOKIT,Level 1,7
PetBot,ROBOKIT,Level 1,8
SensingBot,ROBOKIT,Level 1,9
ControlBot,ROBOKIT,Level 1,10
SnailBot,ROBOKIT,Level 1,11
BattleBot,ROBOKIT,Level 1,12
KartBot,ROBOKIT,Level 2,1
TurtleBot,ROBOKIT,Level 2,2
ServoBot,ROBOKIT,Level 2,3
AttackBot,ROBOKIT,Level 2,4
AvoidBot,ROBOKIT,Level 2,5
CanBot,ROBOKIT,Level 2,6
FortressBot,ROBOKIT,Level 2,7
TractorBot,ROBOKIT,Level 2,8
AxeBot,ROBOKIT,Level 2,9
LoaderBot,ROBOKIT,Level 2,10
GrabBot,ROBOKIT,Level 2,11
FutureBot,ROBOKIT,Level 2,12
InvertBot,ROBOKIT,Level 3,1
CombatBot,ROBOKIT,Level 3,2
FrogBot,ROBOKIT,Level 3,3
LancerBot,ROBOKIT,Level 3,4
JeepBot,ROBOKIT,Level 3,5
CannoBot,ROBOKIT,Level 3,6
DinoBot,ROBOKIT,Level 3,7
TornadoBot,ROBOKIT,Level 3,8
SuperbikeBot,ROBOKIT,Level 3,9
ClimbBot,ROBOKIT,Level 3,10
LarvaBot,ROBOKIT,Level 3,11
FutureBot,ROBOKIT,Level 3,12
SoccerBot,ROBOKIT,Level 4,1
DiceBot,ROBOKIT,Level 4,2
SpikeBot,ROBOKIT,Level 4,3
BugBot,ROBOKIT,Level 4,4
FormulaBot,ROBOKIT,Level 4,5
TopBot,ROBOKIT,Level 4,6
BoxingBot,ROBOKIT,Level 4,7
SpaceBot,ROBOKIT,Level 4,8
DragonBot,ROBOKIT,Level 4,9
RifleBot,ROBOKIT,Level 5,1
SupergrabBot,ROBOKIT,Level 5,2
SupertankBot,ROBOKIT,Level 5,3
VikingBot,ROBOKIT,Level 5,4
DancingBot,ROBOKIT,Level 5,5
DriftBot,ROBOKIT,Level 5,6
BowlingBot,ROBOKIT,Level 5,7
PelicanBot,ROBOKIT,Level 5,8
SpinBot,ROBOKIT,Level 6,1
LizardBot,ROBOKIT,Level 6,2
GolfBot,ROBOKIT,Level 6,3
CrazyBot,ROBOKIT,Level 6,4
ShootingBot,ROBOKIT,Level 6,5
WindbikeBot,ROBOKIT,Level 6,6
NeroBot,ROBOKIT,Level 6,7
ScorpionBot,ROBOKIT,Level 6,8
FutureBot,ROBOKIT,Level 6,9
GiantCarBot,ROBOKIT,Level 6,10
GumdoBot,ROBOKIT,Level 7,1
AutomationBot,ROBOKIT,Level 7,2
PowerBattleBot,ROBOKIT,Level 7,3
FutureBot,ROBOKIT,Level 7,4
VendingMachineBot,ROBOKIT,Level 7,5
BowBot,ROBOKIT,Level 8,1
BuldozerBot,ROBOKIT,Level 8,2
OffroadBot,ROBOKIT,Level 8,3
RubbergunBot,ROBOKIT,Level 8,4
LoaderBot,ROBOKIT,Level 8,5
PenguinBot,ROBOKIT,Level 8,6
ErrandBot,ROBOKIT,Level 8,7
TractorBot,ROBOKIT,Level 8,8
CraneBot,ROBOKIT,Level 8,9
